Headword;CEFR
berry;B2
beside;A1
besides;A2
besides;B1
best;A1
best;A1
bestow;B2
bestseller;B2
bet;B1
betray;B2
better;A1
better;A2
between;A1
bewilder;B2
bewilderment;B2
beyond;A2
bicycle;A1
bid;B2
bidding;B2
big;A1
bike;A1
bikini;B2
bilingual;B1
bill;A2
bill;B1
billion;B2
bin;B1
bind;B2
bio;B2
biochemistry;B1
biography;B1
biological;B2
biology;B1
biotechnology;B2
bird;A1
birdcage;B2
birth;A1
birthday;A1
birthplace;B2
biscuit;A1
bishop;B1
bit;A2
bite;A2
bite;B1
bitter;B1
bitterly;B2
bizarre;B2
black;A1
black;A1
blackboard;A2
blade;B2
blame;B1
blame;A2
blank;A1
blanket;A2
blast;B2
blast;B2
blaze;B2
blaze;B2
bleed;B1
blend;B2
blend;B1
bless;B1
blessing;B1
blind;B1
blindly;B2
blindness;B2
blink;B2
block;A1
block;B1
blog;B1
blogger;B1
blonde;A2
blood;A2
bloodstream;B2
bloody;B2
bloody;B2
bloom;A2
blooming;B2
blossom;B2
blow;A2
blow;A1
blue;A1
blue;A1
blur;B2
blurt;B2
blush;B1
blush;B2
board;A1
board;B1
board game;A2
boast;B1
boat;A1
body;A1
boil;A2
boiled;A2
boiling;B2
bold;B1
bold;B2
boldly;B1
bolt;B2
bolt;B2
bomb;B1
bomb;B1
bombard;B2
bomber;B2
bombing;B2
bond;B1
bone;A1
bonus;A2
bony;B2
book;A1
book;B1
bookcase;A2
booking;B1
bookish;B2
booklet;B2
bookmark;B2
bookmark;B2
bookshelf;A2
bookshop;A2
bookstore;A1
boom;B1
boost;B2
boost;B2
boot;B1
booth;B2
border;B1
bore;B1
bored;A2
boredom;B1
boring;A1
borrow;A1
boss;A2
bossy;B2
botany;B2
both;A1
both;A1
both;A1
bother;B1
bother;A2
bothered;B2
bothersome;B2
bottle;A1
bottle;B2
bottom;A1
bounce;B2
bounce;B1
bound;B1
bourbon;B2
bow;B1
bow;B2
bowl;A1
bowl;B1
box;A1
boxer;B2
boxing;B1
boy;A1
boyfriend;A1
bra;A2
bracelet;B1
bracket;B2
brag;B2
brain;A1
brainstorm;A2
brainstorming;B1
brake;A2
brake;B2
branch;A2
branch;B1
brand;A2
brand-new;B1
brass;B1
brave;A2
bravely;B1
bravery;B2
bread;A1
break;A2
break;A1
breakable;B2
breakdown;B2
breakfast;A1
breakthrough;B1
breakup;B2
breast;B1
breath;B1
breathe;A1
breathless;B1
breathtaking;B2
breed;B2
breed;B1
breeding;B1
breeze;A2
breezy;B2
brewery;B2
brick;B1
bride;A2
bridge;A1
brief;B1
briefly;B1
bright;A1
brightly;B1
brilliant;A2
brilliantly;B2
bring;A1
broad;B1
broadband;B2
broadcast;B1
broadcast;B2
broadcaster;B2
broaden;B2
broadly;B2
broccoli;B1
brochure;B2
broken;A1
bronze;B1
brother;A1
brotherhood;B1
brother-in-law;B2
brown;A1
brown;A2
browse;B2
browser;B2
bruise;B2
brush;A1
brush;A1
bubble;B1
bucket;A1
bud;B2
buddy;B1
budget;B2
budget;A2
bug;A2
build;A1
builder;B1
building;A1
bulb;A2
bulimia;B2
bull;B1
bullet;B1
bulletin;B1
bully;B2
bum;B2
bump;B1
bumper;B2
bun;B2
bunch;B1
burden;B1
burden;B2
burdensome;B2
bureau;B1
bureaucracy;B2
burger;A1
burglar;B1
burglary;B2
burgle;B2
burial;B2
burn;A2
burn;B1
burning;B1
burst;B1
bury;A2
bus;A1
bus station;A2
bus stop;A2
bush;A2
business;A1
businessman;A2
businesswoman;A2
bust;B1
bustle;B2
bustling;B2
busy;A1
but;A1
but;B1
butcher;B1
butcher;B2
butter;A1
butterfly;A1
button;A1
buy;A1
buyer;B1
buzz;B2
buzz;B2
by;A1
bye;A1
cab;A2
cabbage;B1
cabin;B1
cabinet;B2
cable;B2
cafe/café;A1
cafeteria;A2
cage;B1
cake;A1
calculate;B1
calculation;B1
calculator;B1
calendar;A2
calf;B1
call;A1
call;A2
caller;B1
calm;B1
calmly;B2
calmness;B1
camel;B1
camera;A1
camp;A1
camp;A2
campaign;B2
camping;A2
campsite;B1
campus;A2
can;A1
can;A2
canal;B1
cancel;B1
cancer;B1
candidate;B2
candle;B1
candy;A1
cane;B2
canned;B1
cannonball;B2
canon;B2
canteen;B1
cap;A1
capability;B2
capable;B1
capacity;B1
capital;A2
capital letter;A2
capsule;B1
captain;A2
caption;B2
captive;B2
capture;B1
capture;B1
car;A1
car park;A2
caravan;B2
carbon;B2
carbon dioxide;B2
carbon footprint;B2
carbon monoxide;B2
card;A1
cardboard;B2
cardigan;B2
care;A1
care;B1
career;B1
carefree;B2
careful;A1
carefully;A1
careless;B1
carelessly;B1
carelessness;B1
caring;B2
carnival;B2
carpet;B1
carpool;B2
carriage;B1
carrot;A2
carry;A1
carton;B1
cartoon;A1
carve;B2
cascade;B2
case;A1
cash;A2
cashpoint;B1
cassette;A2
cast;B2
cast;B2
castle;A2
casual;B1
casually;B2
cat;A1
catalog/catalogue;B2
catalyst;B2
catastrophe;B2
catastrophic;B2
catch;A1
catch;A1
catchy;B2
categorization/categorisation;B2
categorize/categorise;B1
category;B1
catering;B2
cathedral;B2
cattle;B1
cause;B2
cause;A2
caution;B1
cautious;B1
cave;B1
CD;A1
CD player;A1
CD-ROM;B1
cease;B2
ceiling;B2
celebrate;A1
celebration;A1
celebrity;B1
cell;B1
cellar;B2
cellist;B2
cello;B2
cemetery;B2
cent;A2
center/centre;A2
centigrade;B2
centimeter/centimetre;A2
central;B1
central heating;B1
century;A2
cereal;A2
ceremony;B1
certain;A2
certainly;A2
certainty;B1
certificate;B2
certification;B2
certify;B2
