Headword;CEFR
mend;B1
mental;B1
mentally;B1
mention;A2
mention;B1
mentor;B2
menu;A2
merchandise;B2
merchant;B1
mercy;B2
mere;B1
merely;B1
merge;B2
merger;B2
merry;A1
mess;B1
mess;B2
message;A1
message board;B1
messenger;B2
messy;B1
metal;A2
metaphor;B2
meter/metre;A2
method;A2
metric;B2
micro;B2
microbe;B2
microcomputer;B2
micrometer/micrometre;B2
microorganism;B2
microphone;B2
microscope;B2
microscopic;B2
microscopy;B2
microwave;B2
midday;A2
middle;A1
middle;A2
middle-aged;B1
midnight;A2
midst;B2
might;A2
mighty;B2
migration;B2
mild;B1
mile;B1
military;A2
milk;A1
mill;B2
millimeter/millimetre;B2
million;A2
millionaire;B2
mimic;B2
mind;A1
mind;A2
mine;B2
mine;A1
mineral;B1
mineral water;A2
miniature;B2
minimize/minimise;B1
minimum;B1
minimum;B1
minister;B2
minor;B1
minority;B1
mint;B2
minus;B1
minute;A1
miracle;B1
mirror;A2
mischief;B1
misconception;B2
miserable;B1
misery;B1
misfortune;B2
mislead;B1
misleading;B2
Miss;A1
miss;A1
missile;B2
missing;A2
mission;B1
mist;B2
mistake;A2
mistreat;B2
mistrustful;B2
misty;B1
misunderstand;B2
misunderstanding;B1
mix;B2
mix;A2
mixing bowl;B1
mixture;B2
mobile;A2
mobile;A1
mobile phone;A1
mobility;B2
mock;B2
modal verb/modal;B1
model;B1
model;A2
model;B1
modem;B1
moderate;B1
modern;A2
modernization/modernisation;B2
modernize/modernise;B2
modest;B2
modification;B2
modify;B1
mogul;B2
moisture;B1
mold/mould;B2
molecule;B1
mom;A1
moment;A1
momentarily;B2
momentary;B2
mommy/mommie;A1
monastery;B2
Monday;A1
money;A1
monitor;B1
monitor;B1
monk;B1
monkey;A1
monster;B1
month;A1
monthly;B1
monthly;B1
monument;B1
mood;A2
moody;B2
moon;A1
moonlight;B2
moonscape;B2
moral;B2
moral;B1
morality;B2
morally;B2
more;B1
more;A1
more;A1
moreover;B1
morning;A1
mortal;B2
mortar;B2
mortgage;B2
mortify;B2
mosque;A2
mosquito;B1
moss;B1
most;A2
most;A1
most;A2
mostly;A2
mother;A1
mother-in-law;B2
motherland;B1
motion;B2
motionless;B1
motivate;B1
motivated;B2
motivation;B1
motive;B1
motor;B1
motorbike;B2
motorcycle;B1
motorist;B2
motorway;A2
motto;B1
mount;B1
mount;B2
mountain;A1
mountaintop;B1
mourn;B1
mournful;B2
mouse;A1
mouth;A1
move;A1
move;A2
movement;B1
mover;B2
movie;A1
moving;B2
MP3 player;A2
Mr./Mr;A1
Mrs./Mrs;A1
Ms./Ms;A2
much;A1
much;A1
much;A1
mud;B1
muddy;B2
mug;A2
mule;B1
multiple;B2
multiply;B2
mum;A1
mumble;B2
mumble;B2
murder;A2
murder;B1
murderer;B1
murmur;B2
muscle;B1
muse;B2
museum;A2
mushroom;A2
music;A1
musical;A2
musical;B2
musician;A1
must;A1
mustache/moustache;B2
mustard;B1
mutability;B2
mutable;B2
mutter;B2
mutter;B2
mutton;B2
mutual;B1
my;A1
myself;A2
mysterious;A2
mystery;A2
mystify;B2
myth;B1
nail;B1
naked;B1
name;A1
name;B1
nano;B2
nap;B1
napkin;A2
narcissistic;B2
narrate;B1
narrative;B1
narrator;B2
narrow;B1
narrowly;B2
nasty;B1
nation;A2
national;A2
nationalist;B1
nationality;A1
nationwide;B2
nationwide;B2
native;A2
native speaker;B2
natural;A2
naturally;B1
nature;A2
naughty;B2
naval;B2
navigate;B2
navigation;B2
navy;B2
navy blue;B1
near;B1
near;B1
near;A1
nearby;B1
nearby;B1
nearly;A2
neat;B2
necessarily;B2
necessary;A2
necessity;B2
neck;A1
necklace;B1
nectar;B1
need;A1
need;B2
need;A2
needle;B1
needless;B2
needy;B2
negative;A2
negatively;B2
neglect;B2
negotiate;B1
negotiation;B1
neighbor/neighbour;A1
neighborhood/neighbourhood;B1
neighboring/neighbouring;B2
neither;B2
neither;B2
neither;B2
neither;B2
nephew;B1
nerve;B2
nerves;B2
nervous;A2
nervously;B2
nervousness;B1
ness;B1
net;A2
net;B1
netsurfer/net surfer;B2
network;B1
neurosis;B2
neutral;B1
never;A1
nevertheless;B1
new;A1
newborn;B1
newcomer;B1
newly;B1
news;A1
newscaster;B2
newspaper;A1
newsworthy;B2
next;A2
next;A2
next;B2
next door;B1
next to;A2
next-door;B1
nice;A1
nicely;B2
nickname;B1
niece;B1
night;A1
nightclub;B2
nightlife;B1
nightmare;B2
nine;A1
nineteen;A1
ninety;A1
no;A1
no;A1
no one;A2
nobility;B2
noble;B2
nobleman;B2
nobody;A2
nod;B1
nod;B2
noise;A1
noisily;B1
noisy;A2
nomad;B2
nomination;B2
nominee;B2
none;B1
nonetheless;B1
nonprofessional;B2
nonsense;B1
non-smoking;B2
noon;A2
nor;B1
normal;A2
normally;B1
north;A2
north;A2
north;A2
northeast;B1
northeast;B1
northeastern;B1
northern;B1
northward;B2
northwest;B1
northwest;B1
northwestern;B1
nose;A1
nostril;B2
not;A1
note;A1
note;A1
notebook;A1
nothing;A1
notice;A2
notice;B1
noticeable;B1
noticeboard;B1
notion;B1
notorious;B1
nought;B2
noun;A2
nourish;B2
nourishment;B2
novel;A2
novelist;B1
novelty;B2
November;A1
now;A1
now;B2
nowadays;A2
nowhere;B1
nuclear;B1
nucleus;B1
nuisance;B2
number;A1
numerical;B2
numerous;B1
nurse;A1
nurse;B1
nursery;B2
nut;B2
nutrient;B1
nutrition;B1
nutritious;B1
nutshell;B2
oak;A2
oath;B2
obedience;B2
obedient;B2
obey;B2
obituary;B2
object;B1
object;B2
objection;B1
objective;B2
objective;B1
obligation;B2
observation;B1
observe;B1
observer;B2
obsess;B2
obsession;B2
obsessive;B2
obstacle;B1
obtain;B1
obvious;B1
obviously;B1
occasion;B1
occasion;B1
occasional;B1
occasionally;B1
occupation;A2
occupy;B1
occur;B1
ocean;B1
o'clock;A1
October;A1
odd;B2
of;A1
off;A1
off;A2
off;B1
offend;B2
offender;B2
offense/offence;B2
offensive;B1
offer;A2
offer;A2
offhand;B2
office;A1
officer;A1
official;A2
official;B2
officially;B1
offshore;B2
often;A1
oil;A2
oily;B1
ointment;B2
OK/okay;A1
OK/okay;A1
old;A1
old-fashioned;B1
olive;B2
olive oil;A2
Olympia;B2
Olympiad;B2
Olympic;A2
Olympics;A1
omelet/omelette;A2
on;A2
on;A1
once;A1
once;B2
one;A1
one;A1
one;A2
oneself;B1
onion;A2
online;A2
online;A2
only;A1
only;A1
onstage;B1
onto/on to;B1
open;A1
open;A1
opening;B1
openly;B2
opera;A1
operate;A2
operation;B1
operator;B2
opinion;A2
opponent;B2
opportunity;A2
oppose;A2
opposite;A2
opposite;B1
opposite;B1
opposite;A2
opposition;B1
oppress;B1
oppression;B1
optimism;B2
optimist;B2
optimistic;B2
option;B1
optional;B2
or;A1
oral;B2
oral;B1
orange;A1
orange;A1
orator;B2
orbit;B1
orchestra;B1
orchestral;B2
orchid;B2
order;A1
order;A2
orderly;B1
ordinary;B1
organ;B1
organic;B1
organism;B1
organization/organisation;B1
organize/organise;A2
organized/organised;A2
organizer/organiser;B2
origin;B1
original;A2
original;B2
originality;B2
originally;B2
originate;B2
ornament;B2
orphan;A2
other;A1
other;A2
otherwise;B1
ought to;B1
ounce;B2
our;A1
ours;A1
ourselves;A2
out;A1
out of;A2
outback;B2
outbreak;B2
outcome;B2
outdistance;B2
outdo;B2
outdoor;B1
outdoors;B1
outer;B1
outfit;B2
outgrow;B2
outing;B2
outlaw;B1
outlet;B2
outline;B2
outline;B1
outlive;B2
outlook;B2
out-of-date;B1
outpatient;B2
output;B2
outrage;B2
outrageous;B2
outshine;B2
outside;B2
outside;A1
outside;B2
outside;A2
outsider;B2
outskirts;B2
outstanding;B1
outward;B1
outwardly;B2
outweigh;B1
oval;B2
oven;A2
over;A2
over;A1
overall;B2
overall;B2
overboard;B2
overbook;B2
overcoat;B2
overcome;B1
overemphasize/overemphasise;B2
overestimate;B2
overhear;B2
overjoyed;B1
overlap;B2
overlook;B2
overly;B2
overnight;B1
overnight;B1
overseas;B2
overseas;A2
overshadow;B2
oversize;B2
overstep;B2
overtake;B2
overthrow;B2
overtime;B2
overtime;B2
overturn;B2
overweight;A2
overwhelm;B1
overwhelming;B1
overwork;B1
ow;B2
owe;B1
owing;B1
owing to;B2
owl;B2
own;A1
own;A2
own;B1
owner;A1
ox;B2
oxygen;B1
ozone;B2
p.m./P.M./pm/PM;A1
pa;B2
pace;B1
pacific;A2
pack;A2
pack;A2
package;B1
packed;B2
packet;B2
packing;B1
pad;B2
paddle;B1
page;A1
paid;B1
pain;B1
painful;B1
paint;A1
paint;A1
paintbrush;B2
painter;A2
painting;A1
pair;A1
pajamas/pyjamas;B2
pal;A2
palace;A1
pale;B1
pallet;B2
palm;B1
pan;A2
pancake;B2
pandemic;B2
panel;B2
panic;A2
panic;B2
pants;A1
papaya;B2
paper;A1
paperless;B2
paperwork;B2
parachute;B1
parade;B2
paradise;B1
paradox;B2
paragraph;A1
paralysis;B2
paralyze/paralyse;B1
paramedic;B2
paratrooper;B2
parcel;B1
pardon;A1
pardon;B1
parent;A1
parental;B1
park;A1
park;A2
parking;B1
parliament;B2
parrot;B1
part;A2
part;B2
partial;B1
participant;B1
participate;B1
participation;B2
participle;B1
particle;B2
particular;B2
particularly;B1
partisan;B2
partly;A2
partner;A1
partnership;B2
part-time;B1
part-time;B1
party;A1
pass;A2
pass;A2
passage;A2
passenger;A2
passion;B1
passionate;B2
passionately;B2
passive;B1
passport;B1
password;B1
past;B1
past;A1
past;A1
pasta;A2
pastor;B2
pastoral;B2
patch;B2
path;A2
patience;B1
patient;B1
patient;A2
patiently;B2
patriot;B2
patriotic;B2
patriotism;B2
patrol;B1
patron;B2
pattern;B1
pause;B1
pause;B1
pave;B2
pavement;B2
paw;B2
pawnbroker;B2
pawnshop;B2
pay;A1
pay;A1
payment;B2
PC;A2
pea;A2
peace;A1
peaceful;A2
peacefully;B2
peach;B2
peak;B2
peanut;B1
pear;A2
pearl;B2
pebble;B2
peculiar;B1
pedal;B2
pedantic;B2
pedestrian;B2
pee;B2
peel;B2
peel;B2
peep;B2
peer;B2
peg;B2
pen;A1
penalize/penalise;B2
penalty;B2
pence;A2
pencil;A1
penetrate;B2
penfriend/pen friend;A2
penguin;B2
penicillin;B2
penniless;B1
penny;B1
pension;B2
pentagon;B2
people;A1
pepper;A2
per;B1
perceive;B2
percent/per cent;B1
percentage;B2
perception;B2
perfect;A2
perfectly;A2
perform;A2
performance;A2
performer;B1
perfume;A2
perhaps;A2
period;A1
permanence;B2
permanent;B1
permanently;B1
permeate;B2
permission;A2
permit;B1
perseverance;B2
persist;B2
persistence;B2
persistent;B2
person;A1
personal;A1
personality;A2
personally;B1
personification;B2
personify;B2
personnel;B2
perspective;B2
perspiration;B2
persuade;B1
persuasion;B2
persuasive;B1
pessimist;B2
pessimistic;B2
pet;A1
petrified;B2
petrol;A2
petrol station;A2
petty;B2
pH;B2
phantom;B1
pharmacist;B2
pharmacy;B1
phase;B2
phenomenon;B1
philosopher;B1
philosophical;B2
philosophy;B1
phoenix;B1
phone;A1
phone;A1
photo;A1
photocopy;B1
photograph;A2
photograph;B2
photographer;A2
photography;A2
phrasal verb;B1
phrase;B1
physical;A2
physically;A2
physician;B2
physics;B1
pi;B2
piano;A1
pick;B1
pick;A1
pickle;B2
picky;B2
picnic;A1
picture;A1
picture;B2
picturesque;B2
pie;B1
piece;A1
piety;B1
pig;A1
pile;A2
pilgrim;A2
pill;A2
pillow;B1
pillowcase;B2
pilot;A2
pin;B2
pin;B1
pine;B2
pineapple;B1
pink;A1
pink;A2
pint;B2
pipe;B1
piracy;B2
pirate;B2
pit;B1
pitch;B2
pitch;B2
pity;A2
pizza;A1
place;A1
place;B1
plague;B2
plain;B1
plan;A1
plan;B1
plane;A1
planet;A2
planning;B2
plant;A2
plant;B1
plastic;A2
plastic;B1
plate;A2
platform;B1
play;A1
play;A1
player;A1
playful;A2
playground;A2
playmate;B2
playwright;B2
plead;B2
pleasant;A2
pleasantly;B1
please;A1
please;B1
pleased;A2
pleasing;A2
pleasure;A1
plenty;A2
plenty;B1
plot;B2
pluck;B2
plug;B1
plug;B2
plum;B2
plumber;B2
plural;A2
plus;B1
plus;B2
plus;A2
pneumonia;B2
pocket;A1
pocket money;B1
poem;A1
poet;B1
poetry;B1
point;A1
point;A2
point of view;B2
pointless;B2
poison;B1
poison;B2
poisonous;B1
polar bear;B2
pole;B1
police;A2
police officer;A2
police station;A2
policeman;A2
policewoman;A2
policy;B1
polio;B2
polish;B2
polite;A2
politely;B1
politeness;B2
political;A2
politically;B2
politician;B1
politics;B1
polity;B2
pollutant;B1
pollute;A2
pollution;A1
polo;B2
pond;B1
ponder;B2
pool;A1
poor;A1
pop;A1
pop;B2
popcorn;B1
popular;A2
popularity;B2
popularize/popularise;B2
population;A2
porch;B2
pork;B1
port;B1
portion;B2
portrait;A2
pose;B2
posh;B2
position;A2
positive;B1
positively;B1
possess;B1
possessed;B2
possession;B1
possessive;B1
possibility;B1
possible;A2
possibly;A2
post;A1
post;A2
post office;A2
postal;B2
postcard;B1
poster;A1
postman;B1
postpone;B2
pot;B1
potato;A1
potent;B2
potential;B2
potential;B1
potentially;B2
pottery;B1
pound;B1
pound;B2
pour;A2
poverty;B1
powder;B1
powder;B2
power;A2
powerful;A2
powerfully;B2
practical;B1
practicality;B2
practically;B2
practice;A1
practice/practise;A1
praise;B1
praise;B2
prance;B2
prawn;B2
pray;A1
prayer;B1
precede;B2
precious;B1
precise;A2
precisely;B2
predicament;B2
predicate;B2
predicative;B2
predict;A2
predictable;B2
prediction;A2
predictive;B2
predictor;B2
prefect;B2
prefer;A2
preferable;B2
preferably;B2
preference;B1
prefix;B1
pregnant;B1
prehistoric;B2
prehuman;B2
preindustrial;B2
prejudge;B2
prejudice;B1
preliminary;B2
preoccupy;B2
preparation;B1
prepare;A2
prepared;B1
preposition;B1
preschool;B1
prescribe;B2
prescription;B1
presence;B1
present;B1
present;A1
present;B2
presentation;B1
presenter;B2
preservation;B1
preserve;B1
presidency;B2
president;B1
presidential;B2
press;B1
press;B1
pressure;A2
prestige;B2
prestigious;B2
presumably;B2
pretend;B2
pretend;A2
pretty;A1
pretty;A2
prevail;B2
prevent;A2
prevention;B2
preventive;B2
previous;B1
previously;B2
price;A1
price;B2
priceless;B2
prick;B2
pride;A2
priest;B1
primarily;B1
primary;B2
primary school;B1
prime;B2
prime minister;B2
primitive;B1
prince;A1
princess;A1
principal;A2
principal;B2
principle;B1
print;B1
print;A2
printer;A2
prior;B2
priority;B2
prison;B1
prisoner;B1
privacy;B1
private;A2
privately;B2
privilege;B2
prize;B1
pro;A2
probability;B1
probable;B2
probably;A2
probe;B2
problem;A1
procedure;B2
proceed;B1
process;B1
process;B2
proclaim;B1
procrastination;B1
produce;A2
producer;B1
product;A2
production;A2
productive;B1
profession;B1
professional;A2
professional;B2
professor;B1
profile;B2
profit;B2
profitable;B2
program/programme;A1
program/programme;B1
programmer;B2
programming;B2
progress;B1
progress;B2
progressive;A2
prohibit;B2
prohibition;B1
project;B2
project;B2
projection;B2
prom;B2
prominence;B2
prominent;B1
promise;A2
promise;B1
promote;B1
promotion;B1
prompt;B2
prompt;B2
prompt;B2
promptly;B2
pronoun;B1
pronounce;A2
pronunciation;A2
proof;B1
proper;A2
properly;B1
property;B1
proponent;B2
proportion;B1
proposal;B1
propose;B1
proposed;B2
prose;B2
prosecute;B2
prospect;B2
prosper;B2
prosperity;B1
prosperous;B1
protect;B1
protection;B1
protective;B1
protest;B1
protest;B2
proud;B1
proudly;B2
prove;B1
proven;B2
proverb;B1
provide;A2
provided;B1
province;B2
provision;B2
proximity;B2
psychological;B1
psychologically;B2
psychologist;A2
psychology;B2
pub;B1
public;B1
public;A2
public transport;B1
publication;B2
publicity;B2
publicize/publicise;B2
publicly;B1
publish;A2
publisher;B1
pudding;B2
pull;A2
pullover;B1
pulse;B2
pump;B1
pumpkin;B2
punch;B2
punch;B2
punctual;B2
punctuality;B2
punctuation;A2
punish;B1
punishment;B1
pupil;B1
puppy;B1
purchase;B2
purchase;B2
pure;B1
purify;B1
purple;A2
purple;A1
purpose;A2
purposeful;B2
purse;B1
pursue;A2
pursuit;B2
push;B1
push;A1
put;A1
puzzle;B1
puzzled;B2
quake;B1
qualification;B2
qualified;B1
qualify;B1
quality;B1
quality;A2
quantify;B2
quantity;B1
quarantine;B2
quarrel;B2
quarrel;B2
quarrelsome;B2
quarter;A1
queen;A2
queer;B2
query;B2
question;A1
question;B2
question mark;B1
questionnaire;B1
queue;B1
queue;B2
quick;A2
quickly;A1
quiet;A1
quiet;B2
quietly;A2
quit;B2
quit;A2
quite;A2
quiz;A2
quotable;B2
quotation;B2
quote;B2
quote;B2
rabbit;A1
race;B1
race;B1
racial;B1
racism;B2
racist;B2
rack;B2
racket;A2
radar;B2
radiate;B2
radiation;B1
radical;B2
radically;B2
radio;A1
radium;B2
rafter;B2
rag;B2
rage;B1
rail;B1
railroad;B1
railway;B1
rain;A1
rain;A1
rainbow;B2
raincoat;A2
rainfall;B1
rainforest;B1
rainstorm;B2
rainy;A1
raise;A2
rally;B2
ram;B2
ramp;B2
range;A2
range;B2
ranger;B2
rank;B1
rap;A2
rap;B1
rape;B2
rape;B2
rapid;B1
rapidly;B1
rare;B1
rarely;B1
rash;B2
raspberry;B1
rat;A1
rate;A2
rate;B2
rather;A2
rating;A2
ration;B1
rational;B1
rattle;B2
ravage;B2
raw;A2
ray;A2
razor;B1
're;A1
reach;B1
reach;A2
react;B1
reaction;B2
read;A1
reader;A1
readily;B2
reading;A1
ready;A1
real;A1
real;A1
real estate;B2
realistic;B1
reality;B1
realization/realisation;B2
realize/realise;A2
really;A1
rear;B2
rearrange;B1
reason;A1
reasonable;B1
reasonably;B2
rebel;B2
rebel;B2
rebellious;B2
rebuild;B1
recall;B1
receipt;A2
receive;A2
recent;A2
recently;A2
reception;B1
receptionist;A2
recession;B2
recipe;B2
recite;B1
reckon;B2
reclaim;B1
recognition;B2
recognize/recognise;B1
recollect;B2
recollection;B2
recommend;B1
recommendable;B2
recommendation;B2
reconsider;B2
record;B1
record;A2
recording;B1
recover;B1
recovery;B1
recreation;B2
recruit;B2
rectangular;B2
recycle;A2
recycled;B1
recycling;B1
red;A1
red;A2
redo;B2
reduce;B1
reduction;B1
redundant;B2
reed;B2
reef;B1
refer;A2
referee;B1
reference;B2
referent;B2
refinery;B2
reflect;A2
reflection;B1
reflective;B2
reform;B2
refrain;B2
refresh;B2
refreshments;B1
refrigerator;A2
refuge;B2
refugee;B2
refund;B1
refusal;B1
refuse;B1
refuse;B1
refute;B2
regain;B1
regard;B2
regard;B1
regarding;B1
regardless;B2
reggae;B2
regime;B2
region;B1
regional;B1
register;B1
register;B1
registration;B1
regret;B2
regret;A2
regrettably;B2
regular;A2
regularly;A2
regulate;B2
regulation;B1
rehearsal;B2
reinforce;B2
reinforcement;B2
reject;B1
rejection;B2
rejoin;B2
relate;B1
related;B2
relation;B1
relationship;B1
relative;B1
relative;B1
relatively;B1
relativity;B2
relax;A2
relaxation;B2
relaxed;A2
relaxing;B1
relay;B2
release;A2
release;B1
relevant;B2
reliable;B1
relic;B2
relief;B2
relieve;B2
relieved;B2
religion;B1
religious;B1
reluctant;B2
rely;B1
remain;A2
remainder;B1
remaining;B2
remains;B2
remark;B2
remark;B1
remarkable;B1
remarkably;B2
remedy;B1
remember;A1
remembrance;B1
remind;A2
reminder;B2
remote;A2
remote control;B1
remove;B1
renew;B1
rent;A2
rent;A2
rental;B2
reorganize/reorganise;B2
repaint;B2
repair;A2
repair;A2
repay;B1
repeat;A1
repeatedly;B1
repertoire;B2
repetition;B2
replace;A2
replacement;B2
replica;B2
reply;A2
reply;B1
report;A2
report;B1
reporter;A1
represent;A2
representative;B1
repress;B2
repression;B2
reprint;B2
reproduce;B1
reprove;B2
republic;B1
reputation;B1
request;A2
request;B1
require;B1
requirement;B1
rescue;B1
rescue;B1
research;A2
research;B2
researcher;B1
resemble;B1
reservation;B1
reserve;B1
reserve;B1
residence;B2
resident;B1
resident;B2
residential;B1
resign;B2
resignation;B2
resist;B1
resistance;B2
resolution;B2
resolve;B1
resonant;B2
resort;B1
resource;B1
respect;B1
respect;B1
respectable;B1
respectably;B2
respected;B2
respiration;B2
respiratory;B2
respond;B1
response;A2
responsibility;B1
responsible;B1
rest;B1
rest;B1
restaurant;A1
restore;B1
restrict;B1
restriction;B2
result;A1
result;B1
resume;B2
retail;B1
retailer;B2
retain;B1
retard;B2
retell;B1
retina;B2
retire;A2
retired;A2
retirement;B2
retreat;B2
retreat;B2
retrieve;B2
retrospect;B1
return;A2
return;A2
reunification;B1
reunify;B1
reunion;A2
reveal;A2
revelation;B2
revenge;B2
revenue;B2
reverence;B2
reverse;B2
review;A1
review;B2
revise;B1
revision;B1
revival;B2
revive;B2
revolution;B2
revolutionary;B2
revolutionize/revolutionise;B2
revolve;B2
reward;B1
reward;B2
rewrite;B1
rhinoceros;B2
rhyme;B2
rhythm;A2
rhythmic;B2
rib;B2
ribbon;A1
rice;A1
rich;A1
rid;B1
riddle;B2
riddle;B1
ride;A1
ride;A1
rider;B2
ridge;B2
ridiculous;B1
right;A1
right;A1
right;A2
righteousness;B2
right-hand;A2
rightly;B2
rim;B2
ring;A2
ring;A1
rip;B2
ripe;B1
rise;B1
rise;B1
risk;B1
risk;B2
risky;B2
rite;B2
ritual;B2
rival;B2
river;A1
road;A2
roadside;B1
roam;B2
roar;B2
roast;B2
roast;A2
rob;A2
robbery;A2
robin;A2
robot;B1
rock;A2
rock;B2
rocket;B2
rocky;B2
role;A1
roll;A2
roll;B2
rolling;B1
romance;A2
romantic;A2
roof;A2
room;A1
room;B1
roommate;B2
root;A2
rope;A2
rose;A1
rosy;B2
rotten;B1
rough;B1
roughly;A2
round;B1
round;A2
round;B1
round;B2
round;B2
roundabout;A2
route;B2
routine;B1
row;A1
row;B2
royal;A2
royalty;B2
rub;B2
rubber;B1
rubbish;B1
rubble;B2
rude;A1
rudely;B1
rug;B2
rugby;A2
ruin;B1
ruin;A2
ruinous;B2
rule;A1
rule;B2
ruler;A1
rumor/rumour;A2
run;A1
run;A1
runaway;B1
runner;A2
running;A2
runway;B1
rural;B2
rush;A2
rush;B1
rush hour;B2
rusty;B2
's;A1
sack;B2
sacred;B1
sad;A1
sadly;A2
sadness;B1
safari;B1
safe;A2
safeguard;B1
safeguard;B2
safely;B1
safety;B1
sag;B2
sage;B2
sail;B2
sailing;A2
sailor;A1
sake;A2
salad;A1
salary;B2
sale;A1
salesman;B1
salesmanship;B2
salesperson;B2
saleswoman;B2
salmon;B1
salon;B2
salsa;B2
salt;A2
salty;B2
same;A1
same;A1
same;A1
sample;A2
sand;B1
sandal;B1
sandstone;B2
sandwich;A1
sandy;A2
sanitary;B2
sanitation;B2
satellite;B1
satisfaction;B1
satisfactory;B2
satisfied;B1
satisfy;A2
Saturday;A1
sauce;A2
saucepan;B1
saucer;B1
sausage;A2
save;A1
saving/savings;B2
saw;A1
saw;B2
say;B2
say;A1
scale;A2
scan;B1
scan;B2
scandal;B2
scar;B2
scarcely;B2
scare;B1
scared;B1
scarf;A2
scarlet;B2
scary;B1
scatter;B1
scene;A2
scenery;A2
scenic;B1
scent;B2
schedule;A2
schedule;B2
scheduled;B2
scheme;B2
scholar;B1
scholarship;B1
scholasticism;B2
school;A1
schoolchild;A2
schoolgirl;B2
schoolmate;B1
schoolteacher;B1
schoolwork;A2
science;A1
science fiction;B1
scientific;A2
scientifically;B2
scientist;A1
scissors;A2
scold;B1
scooter;B2
scope;B1
score;B1
score;B1
scramble;B2
scratch;B1
scratch;B2
scream;A2
scream;B1
screen;A2
screen;B2
screw;A2
screw;B2
scribble;B2
script;A2
scrooge;B2
scuba;B2
sculpture;B1
scythe;B2
sea;A1
seafood;A2
seal;B2
search;A2
search;B1
seaside;A2
season;B1
seasonal;B2
seat;A1
seawater;B1
seaweed;B1
second;A1
second;B1
second;A2
second;A2
second person;B2
secondary;B2
secondary school;B1
second-hand;B1
second-hand;B1
secondly;B2
secret;B1
secret;A2
secretary;A2
secretly;B1
section;A1
sector;B2
secure;B1
security;B1
see;A1
seed;A2
seek;A2
seem;A2
seesaw;B2
segment;B2
seize;B1
seldom;B2
select;B1
select;B2
selection;B1
self;A1
self-confidence;B2
self-confident;B2
selfish;B1
selfless;B2
self-service;B1
sell;A1
seller;B2
semester;A2
semicolon;B2
semi-final;B2
seminar;B2
senator;B2
send;A2
senior;A2
senior;A2
sensation;B1
sense;A2
sense;B2
sensible;B2
sensitive;B2
sentence;A1
sentence;B2
separate;A2
separate;B2
separately;B2
separation;B1
September;A1
sequence;B1
serene;B2
serial;B2
series;B1
serious;B1
seriously;A2
servant;B2
serve;A2
server;B1
service;B1
service;B1
session;B1
set;A2
set;A1
setback;B2
setting;B1
settle;B1
settlement;B1
settler;B1
seven;A1
seventeen;A1
seventy;A1
several;A2
several;A2
severe;B1
severely;B1
sew;A2
sex;B1
sexism;B2
sexual;B2
sexy;B2
shabby;B2
shade;A2
shadow;A2
shadow;B1
shadowy;B1
shake;A1
shake;B1
shaken;B2
Shakespearean;B2
shaky;B2
shall;A2
shallow;B1
shame;B1
shameful;B1
shampoo;A2
shape;A2
shape;B1
share;A2
share;A1
sharp;B1
sharp;B2
sharply;B2
shatter;B2
shave;B1
she;A1
shed;B2
sheep;A1
sheer;B1
sheet;B1
shelf;A1
shell;A2
shell;B2
shelter;B1
sheriff;B1
shield;B2
shift;B2
shift;B1
shine;A2
shiny;B1
ship;A1
ship;B1
shipping;B2
shipwreck;B2
shirt;A1
shiver;B1
shock;A2
shock;B2
shocked;B1
shocking;B1
shoe;A1
shoot;A2
shooting;B2
shop;A1
shop;B1
shop assistant;A2
shopkeeper;B2
shoplift;B2
shoplifter;B2
shoplifting;B2
shopper;B1
shopping;A1
shore;A2
short;A1
short;A1
short/shorts;A2
shortage;B1
shortly;B1
shortness;B2
short-term;B2
shot;A2
should;A1
shoulder;A1
shout;A2
shout;B1
show;A2
show;A1
showbiz;B2
showcase;B2
shower;A1
shower;B2
shrimp;B1
shrink;B2
shrink;B2
shrug;B2
shut;B1
shut;A2
shy;A1
sick;A1
sickness;B1
side;A1
sidewalk;B1
sigh;B1
sigh;B2
sight;A1
sightseeing;A2
sign;A1
sign;B1
signal;B1
signature;B1
significance;B1
significant;A2
significantly;B2
signify;B2
signpost;B1
silence;A2
silent;B1
silently;A2
silk;B1
silly;A2
silver;A2
silver;A2
silverware;B2
similar;A2
similarity;B1
similarly;B1
simple;A2
simplification;B2
simplify;B1
simply;A2
simultaneous;B2
simultaneously;B1
since;B2
since;B1
since;A2
sincere;B2
sincerity;B2
sing;A1
singer;A1
singing;A2
single;A2
single;B1
singular;A2
singular;A2
sink;A2
sink;B1
sir;A1
sister;A1
sister-in-law;B2
sit;A1
site;A1
sitting room;A2
situation;A2
six;A1
sixteen;A1
sixty;A1
size;A1
skate;A2
skate;B1
skateboard;B2
skateboarder;B2
skateboarding;A2
skating;A2
skeleton;B1
sketch;B2
ski;A2
ski;B1
skiing;A2
skill;A1
skilled;B2
skillful/skilful;B2
skillfully/skilfully;B2
skim;B2
skin;B1
skip;B2
skirt;A1
sky;A1
skylark;B2
skyscraper;B1
skyward;B2
slam;B2
slang;B2
slap;B2
slap;B2
slash;B2
slaughter;B2
slave;A2
slavery;B1
sleep;B1
sleep;A1
sleepless;A2
sleepy;A2
sleeve;B1
slice;A2
slice;B2
slide;A2
slide;B2
slight;B2
slight;B1
slightly;B1
slim;A2
slip;B1
slip;B1
sliver;B2
slogan;B1
slope;B1
sloppy;B2
slot;B1
slow;A1
